10,0,10.402,5.156,5.246
10,100,10.810,4.675,6.135
10,10,9.978,6.579,3.399
10,110,11.000,4.675,6.325
10,120,11.000,4.675,6.325
10,130,10.708,4.675,6.033
10,140,10.765,5.156,5.609
10,150,10.816,5.401,5.415
10,160,11.009,5.410,5.599
10,170,11.282,5.165,6.117
10,180,11.835,5.891,5.944
10,190,10.972,5.165,5.807
10,200,11.027,5.156,5.871
10,20,9.978,6.579,3.399
10,210,14.077,5.452,8.625
10,220,11.051,4.920,6.131
10,230,10.807,5.165,5.642
10,240,11.548,5.410,6.138
10,250,11.941,5.068,6.873
10,260,12.182,4.823,7.359
10,270,13.504,5.697,7.807
10,280,14.096,5.452,8.644
10,290,11.850,4.823,7.027
10,300,14.077,5.469,8.608
10,30,10.424,4.920,5.504
10,310,13.807,5.825,7.982
10,320,11.850,4.823,7.027
10,330,14.262,5.364,8.898
10,340,14.796,5.119,9.677
10,350,13.604,6.406,7.198
10,360,14.806,5.119,9.687
10,370,14.176,5.461,8.715
10,380,13.508,5.942,7.566
10,390,14.461,6.343,8.118
10,400,13.803,7.155,6.648
10,40,10.365,4.675,5.690
10,410,14.025,6.178,7.847
10,420,14.051,6.420,7.631
10,430,14.191,5.942,8.249
10,440,12.091,5.068,7.023
10,450,14.103,6.318,7.785
10,460,14.396,5.825,8.571
10,470,12.137,5.304,6.833
10,480,14.536,5.349,9.187
10,490,14.351,5.364,8.987
10,50,10.708,4.675,6.033
10,60,10.226,4.920,5.306
10,70,10.679,4.675,6.004
10,80,10.668,4.675,5.993
10,90,10.175,4.675,5.500
11,0,10.518,4.675,5.843
11,100,11.381,5.164,6.217
11,10,10.675,5.646,5.029
11,110,11.359,5.409,5.950
11,120,11.554,4.823,6.731
11,130,10.291,4.905,5.386
11,140,10.489,4.675,5.814
11,150,11.000,4.675,6.325
11,160,11.468,5.165,6.303
11,170,11.711,5.068,6.643
11,180,11.117,5.410,5.707
11,190,11.338,5.401,5.937
11,200,11.169,5.401,5.768
11,20,10.697,4.675,6.022
11,210,10.967,5.410,5.557
11,220,11.600,5.401,6.199
11,230,12.171,5.068,7.103
11,240,11.278,5.165,6.113
11,250,11.861,4.823,7.038
11,260,11.946,5.068,6.878
11,270,13.195,5.714,7.481
11,280,11.737,4.823,6.914
11,290,13.882,5.706,8.176
11,300,11.890,4.823,7.067
11,30,10.529,4.920,5.609
11,310,11.485,5.068,6.417
11,320,11.890,4.823,7.067
11,330,13.706,6.440,7.266
11,340,14.420,5.119,9.301
11,350,12.233,5.068,7.165
11,360,12.289,5.068,7.221
11,370,14.144,6.178,7.966
11,380,14.171,5.609,8.562
11,390,11.660,4.823,6.837
11,400,13.860,6.437,7.423
11,40,10.395,4.920,5.475
11,410,14.307,5.119,9.188
11,420,12.291,5.558,6.733
11,430,14.532,5.119,9.413
11,440,12.610,5.549,7.061
11,450,15.205,5.119,10.086
11,460,13.656,6.437,7.219
11,470,14.247,5.461,8.786
11,480,14.277,5.959,8.318
